# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,EHP00,AMU Wärmepumpe,EHP00 172 327+427,,,,,,,,,,
*r,hwc,,,,"25","B509","0D",,,,,,
*w,hwc,,,,"25","B509","0E",,,,,,
*wi,hwc#install,,,,"25","B509","0E",,,,,,
# ##### DHW: Parameter und Informationen #####,,,,,,,,,,,,,
r;w,,OperatingMode,Betriebsart,,,,"2B00",,,hwcmode,,,"Betriebsmodus Warmwasser (Auto, Ein, Aus)"
r;wi,,StorageTempDesiredStop,Max. Warmwassertemp,,,,"8200",,,temp,,,"Anzeige maximale Warmwassertemperatur, erfolgt nur, wenn die Zusatzheizung für Warmwasser freigeschaltet ist! Ohne Zusatzheizung wird die Warmwasser-Temperatur nur durch die Drucksensor-Regelabschaltung begrenzt (ca. 58 °C Speichertemperatur)."
r;wi,,StorageTempDesiredStart,Min. Warmwassertemp,,,,"8300",,,temp,,,"Min. Warmwasser, Starttemperatur für die Nachladung des Warmwasserspeichers."
r;wi,,LegioProtectionEnabled,Legionellenschutz,,,,"4000",,,yesno,,,"Der Legionellenschutz wird, wenn eine Zusatzheizung aktiviert ist, bei „AN“ Mittwochs zur eingestellten Uhrzeit durch die Zusatzheizung ausgeführt."
r;wi,,LegionellaStartTime,Startzeit Legionellenschutz,,,,"6700",,,time2,,,"Startzeit des Legionellenschutzes wenn aktiviert, immer Mittwochs."
