# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment
r,hmu,Standby,,,,B503,020003,,,HEX:6,,,,,,,,,,,,,,,,,,,,,
# START Unbekannte Nachrichten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,hmu,UnbekannteAbfrage60sB507h,,,08,B507,0900,,,HEX:*,,,Unbekannte Abfrage all 60 Sekunden vom Sensocomfort an ArothermPlus,,,,,,,,,,,,,,,,,,
r,,Lufteinlasstemperatur,,,,,3003FFFF,,,temps2,10,°C,Lufteinlass Temperatur (°C),,,,,,,,,,,,,,,,,,
r,,Kompressorauslasstemperatur,,,,,3703FFFF,,,temps2,10,°C,KompressorAuslass Temperatur (°C),,,,,,,,,,,,,,,,,,
r,,Kompressoreinlasstemperatur,,,,,3803FFFF,,,temps2,10,°C,KompressorEinlass Temperatur (°C),,,,,,,,,,,,,,,,,,
r,,ElektronischesExpansionsVentilAuslass,,,,,3903FFFF,,,temps2,10,°C,ElektronischesExpansionsVentil Auslasstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,Kondensatorauslass,,,,,3B03FFFF,,,temps2,10,°C,Kondensatorauslass Temperatur (°C),,,,,,,,,,,,,,,,,,
r,,Hochdruck,,,,,3F03FFFF,,,UIN,10,bar,Hochdruck (bar),,,,,,,,,,,,,,,,,,
r,,Niederdruck,,,,,4003FFFF,,,UIN,10,bar,Niederdruck (bar),,,,,,,,,,,,,,,,,,
r,,Hochdruckschalter,,,,,4303FFFF,,,UCH,0=open;1=closed,,Hochdruck Schalter (auf/zu),,,,,,,,,,,,,,,,,,
r,,Aussentemperatur,,,,,4503FFFF,,,temps2,10,°C,AussenTemperatur (°C),,,,,,,,,,,,,,,,,,
r,,Systemtemperatur,,,,,4603FFFF,,,temps2,10,°C,SystemTemperatur (°C),,,,,,,,,,,,,,,,,,
r,,DCFSignalStaerke,,,,,4703FFFF,,,dcfstate,,,DCF Signal Staerke,,,,,,,,,,,,,,,,,,
r,,EVUSperreS21,,,,,4803FFFF,,,UCH,0=open;1=closed,,,,,,,,,,,,,,,,,,,,
r,,Verdampfungstemperatur,,,,,5503FFFF,,,temps2,10,°C,VerdampfungsTemperatur (°C),,,,,,,,,,,,,,,,,,
r,,Kondensationstemperatur,,,,,5603FFFF,,,temps2,10,°C,KondensationsTemperatur (°C),,,,,,,,,,,,,,,,,,
r,,Sollwertueberhitzung,,,,,5703FFFF,,,temps2,10,K,Sollwertueberhitzung (K),,,,,,,,,,,,,,,,,,
r,,Istwertueberhitzung,,,,,5803FFFF,,,temps2,10,K,Istwertueberhitzung (K),,,,,,,,,,,,,,,,,,
r,,SollwertUnterkuehlung,,,,,5903FFFF,,,temps2,10,K,SollwertUnterkuehlung (K),,,,,,,,,,,,,,,,,,
