# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
*ra,rc2,,,,75,B509,0D,,,,,,,,,,,,
*wa,rc2,,,,75,B509,0E,,,,,,,,,,,,
*rb,rc4,,,,1C,B509,0D,,,,,,,,,,,,
*wb,rc4,,,,1C,B509,0E,,,,,,,,,,,,
ra;rb;wa;wb,,RoomTemp,Raumtemperatur IST,,,,0000,,,tempsensor,,,,,,,,,
ra;rb;wa;wb,,RoomTempOffset,Raumtemperatur IST Offset,,,,1F00,,,temp,,,,,,,,,
ra;rb;wa;wb,,RoomTempOffsetSelfWarming,Raumtemperatur IST Offset Eigenerwärmung,,,,2000,,,temp,,,,,,,,,
ra;rb;wa;wb,,HolidayPeriod,Ferien Zeitraum,,,,4300,,,holiday,,,,,,,,,
ra;rb;wa;wb,,HolidayRoomSetTemp,Ferien Solltemperatur,,,,2200,,,temp,,,,,,,,,
ra;rb;wa;wb,,LcdContrast,Kontrast Display,,,,3600,,,UCH,,,,,,,,,
