# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
*r,pms00,,,,ED,B509,0D,,,,,,,,,,,,
*w,pms00,,,,ED,B509,0E,,,,,,,,,,,,
r;w,,Date,Datum,,,,2400,,,hda,,,,,,,,,
r;w,,Time,Uhrzeit,,,,2300,,,hti,,,,,,,,,
r;w,,Country,Ländercode,,,,3900,,,uch,,,,,,,,,
r1,,YieldDay,Tagesertrag,,,,3B00,,,energy,,,,,,,,,
r1,,YieldSum,Gesamtertrag,,,,5600,,,energy4,,,,,,,,,
r1;w,,SolarNtcFrom,vom Kollektor,,,,0500,,,tempsensor,,,,,,,,,
r1;w,,SolarNtcTo,zum Kollektor,,,,0600,,,tempsensor,,,,,,,,,
r;w,,SolarPower,Solarpumpe Leistung,,,,1000,,,percent,,,,,,,,,
r;w,,SolarHours,Solarpumpe Laufzeit,,,,1B00,,,uin,,h,,,,,,,
r;w,,SolarRelay,Solarpumpe Relais,,,,0F00,,,onoff,,,,,,,,,
r1;w,,BufferNtcFrom,vom Speicher,,,,0800,,,tempsensor,,,,,,,,,
r1;w,,BufferNtcTo,zum Speicher,,,,0700,,,tempsensor,,,,,,,,,
r;w,,BufferPower,Speicherpumpe Leistung,,,,1100,,,percent,,,,,,,,,
r;w,,BufferHours,Speicherpumpe Laufzeit,,,,4C00,,,uin,,h,,,,,,,
r,,BufferFlow,Speicherpumpe Volumenstrom,,,,2E00,,,uin,,ml/min,,,,,,,
